Product Name,Current Price,Original Price,Image URL,Stock,item_id
Baterai Murah Maxel LR44 AG10 LR44 LR41 LR 44 LR 41 LR1130 SONY - LR41/AG3/LR736,Rp238,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/7/18/1f983c52-72af-4785-8739-c21a46b0a565.png.webp?ect=4g,"95,2 rb",34
Casio General F-91W-1DG F-91W F-91 F91W F 91W Kaca Stopwatch,Rp237.300,Rp339.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/c0f323d723f1417dbedd14a2ea270336~.jpeg.webp?ect=4g,41,35
Casio Jam Tangan Pria F-91W-1DG Stopwatch,Rp244.080,Rp339.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/4/26/86e667bd-4a10-447f-ba09-119eb6488f4c.jpg.webp?ect=4g,19,36
Jam Tangan Pria Digital Dual Time Sport Watch Tahan air 5 Bar SKMEI 2263 - Hitam Gold,Rp104.860,Rp210.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/7b5c4b0b8a264e65abe3d39052e181bb~.jpeg.webp?ect=4g,19,37
Jam Tangan 5in1 Paracord Survival Watch Gelang Kompas Outdoor Camping - Hitam,Rp34.888,-,https://images.tokopedia.net/img/cache/500-square/product-1/2019/5/24/458544/458544_7373959c-da46-47c9-9a51-b939616c9e16_640_640.webp?ect=4g,51,38
EIGER MERCURY ABC WATCH 1.0,Rp1.259.100,Rp1.399.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/37eca9bf854d4c259bcfaa3a40e6cf1d~.jpeg.webp?ect=4g,46,39
HANNAH MARTIN Jam Tangan pria  Analog Kuarsa Kronograf Tahan Air men watch  17551 Stainless kedap air blue Men's Watches - 17551-H2,Rp139.000,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/b68c5e33ce1640b388e558dfc3ee3547~.jpeg.webp?ect=4g,1.651,40
"MCE Jam Tangan Pria Apollo Series ( Full Black ) - Full Black, Strap Jahitan",Rp244.000,Rp450.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/919adc363ff2423a871df14d6116eb65~.jpeg.webp?ect=4g,30,41
Jam Tangan Pria Parlent Gallant Phantom Steel - Black Matte,Rp1.066.030,Rp1.099.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/427fec9a5afb4f2b8ebb65e3aa5c35ce~.jpeg.webp?ect=4g,32,42
OLEVS Jam Tangan Wanita Set Kalung Gelang Original Asli Untuk Tahan Air Rose Gold Lady Girl Watch 5869 Arloji Kaca - Putih Set,Rp327.750,Rp650.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/56959e46a2c8455a8061b726c7cdb383~.jpeg.webp?ect=4g,269,43
